TID: 00f7c8685f7f0000, SID: 28, DID: 0, CID: 0, time stamp: 47, AID: 0, The ship created
TID: 00f7ff635f7f0000, SID: 84, DID: 0, CID: 0, time stamp: 125, AID: 0, The ship created
TID: 00e77f635f7f0000, SID: 0, DID: 0, CID: 0, time stamp: 153, AID: 0, The ship created
TID: 00d7ff625f7f0000, SID: 95, DID: 0, CID: 0, time stamp: 180, AID: 0, The ship created
TID: 00c77f625f7f0000, SID: 37, DID: 0, CID: 0, time stamp: 230, AID: 0, The ship created
TID: 00b7ff615f7f0000, SID: 17, DID: 0, CID: 0, time stamp: 279, AID: 0, The ship created
TID: 00a77f615f7f0000, SID: 22, DID: 0, CID: 0, time stamp: 327, AID: 0, The ship created
TID: 0097ff605f7f0000, SID: 33, DID: 0, CID: 0, time stamp: 376, AID: 0, The ship created
TID: 00877f605f7f0000, SID: 90, DID: 0, CID: 0, time stamp: 425, AID: 0, The ship created
TID: 0077ff5f5f7f0000, SID: 92, DID: 0, CID: 0, time stamp: 442, AID: 0, The ship created
TID: 00677f5f5f7f0000, SID: 23, DID: 0, CID: 0, time stamp: 457, AID: 0, The ship created
TID: 0057ff5e5f7f0000, SID: 64, DID: 0, CID: 0, time stamp: 473, AID: 0, The ship created
TID: 00477f5e5f7f0000, SID: 73, DID: 0, CID: 0, time stamp: 489, AID: 0, The ship created
TID: 0037ff5d5f7f0000, SID: 55, DID: 0, CID: 0, time stamp: 507, AID: 0, The ship created
TID: 00277f5d5f7f0000, SID: 19, DID: 0, CID: 0, time stamp: 522, AID: 0, The ship created
TID: 0017ff5c5f7f0000, SID: 49, DID: 0, CID: 0, time stamp: 539, AID: 0, The ship created
TID: 00077f5c5f7f0000, SID: 48, DID: 0, CID: 0, time stamp: 555, AID: 0, The ship created
TID: 00f7fe5b5f7f0000, SID: 72, DID: 0, CID: 0, time stamp: 570, AID: 0, The ship created
TID: 00e77e5b5f7f0000, SID: 74, DID: 0, CID: 0, time stamp: 588, AID: 0, The ship created
TID: 00d7fe5a5f7f0000, SID: 94, DID: 0, CID: 0, time stamp: 604, AID: 0, The ship created
TID: 00c77e5a5f7f0000, SID: 15, DID: 0, CID: 0, time stamp: 621, AID: 0, The ship created
TID: 00b7fe595f7f0000, SID: 6, DID: 0, CID: 0, time stamp: 639, AID: 0, The ship created
TID: 00a77e595f7f0000, SID: 12, DID: 0, CID: 0, time stamp: 657, AID: 0, The ship created
TID: 0097fe585f7f0000, SID: 18, DID: 0, CID: 0, time stamp: 671, AID: 0, The ship created
TID: 00877e585f7f0000, SID: 82, DID: 0, CID: 0, time stamp: 685, AID: 0, The ship created
TID: 0077fe575f7f0000, SID: 4, DID: 0, CID: 0, time stamp: 699, AID: 0, The ship created
TID: 00677e575f7f0000, SID: 20, DID: 0, CID: 0, time stamp: 717, AID: 0, The ship created
TID: 0057fe565f7f0000, SID: 53, DID: 0, CID: 0, time stamp: 734, AID: 0, The ship created
TID: 00477e565f7f0000, SID: 89, DID: 0, CID: 0, time stamp: 755, AID: 0, The ship created
TID: 0037fe555f7f0000, SID: 36, DID: 0, CID: 0, time stamp: 771, AID: 0, The ship created
TID: 00277e555f7f0000, SID: 60, DID: 0, CID: 0, time stamp: 816, AID: 0, The ship created
TID: 0017fe545f7f0000, SID: 3, DID: 0, CID: 0, time stamp: 835, AID: 0, The ship created
TID: 00077e545f7f0000, SID: 96, DID: 0, CID: 0, time stamp: 858, AID: 0, The ship created
TID: 00f7fd535f7f0000, SID: 11, DID: 0, CID: 0, time stamp: 876, AID: 0, The ship created
TID: 00e77d535f7f0000, SID: 41, DID: 0, CID: 0, time stamp: 892, AID: 0, The ship created
TID: 00d7fd525f7f0000, SID: 57, DID: 0, CID: 0, time stamp: 908, AID: 0, The ship created
TID: 00c77d525f7f0000, SID: 29, DID: 0, CID: 0, time stamp: 923, AID: 0, The ship created
TID: 00b7fd515f7f0000, SID: 26, DID: 0, CID: 0, time stamp: 938, AID: 0, The ship created
TID: 00a77d515f7f0000, SID: 27, DID: 0, CID: 0, time stamp: 954, AID: 0, The ship created
TID: 0097fd505f7f0000, SID: 67, DID: 0, CID: 0, time stamp: 970, AID: 0, The ship created
TID: 00877d505f7f0000, SID: 63, DID: 0, CID: 0, time stamp: 985, AID: 0, The ship created
TID: 0077fd4f5f7f0000, SID: 66, DID: 0, CID: 0, time stamp: 1001, AID: 0, The ship created
TID: 00677d4f5f7f0000, SID: 98, DID: 0, CID: 0, time stamp: 1018, AID: 0, The ship created
TID: 0057fd4e5f7f0000, SID: 93, DID: 0, CID: 0, time stamp: 1037, AID: 0, The ship created
TID: 00477d4e5f7f0000, SID: 32, DID: 0, CID: 0, time stamp: 1053, AID: 0, The ship created
TID: 0037fd4d5f7f0000, SID: 42, DID: 0, CID: 0, time stamp: 1069, AID: 0, The ship created
TID: 00277d4d5f7f0000, SID: 91, DID: 0, CID: 0, time stamp: 1189, AID: 0, The ship created
TID: 0017fd4c5f7f0000, SID: 45, DID: 0, CID: 0, time stamp: 1246, AID: 0, The ship created
TID: 00077d4c5f7f0000, SID: 16, DID: 0, CID: 0, time stamp: 1256, AID: 0, The ship created
TID: 00f7fc4b5f7f0000, SID: 65, DID: 0, CID: 0, time stamp: 1355, AID: 0, The ship created
TID: 00e77c4b5f7f0000, SID: 75, DID: 0, CID: 0, time stamp: 1450, AID: 0, The ship created
TID: 00d7fc4a5f7f0000, SID: 40, DID: 0, CID: 0, time stamp: 1528, AID: 0, The ship created
TID: 00c77c4a5f7f0000, SID: 87, DID: 0, CID: 0, time stamp: 1599, AID: 0, The ship created
TID: 00b7fc495f7f0000, SID: 39, DID: 0, CID: 0, time stamp: 1660, AID: 0, The ship created
TID: 00a77c495f7f0000, SID: 80, DID: 0, CID: 0, time stamp: 1732, AID: 0, The ship created
TID: 0097fc485f7f0000, SID: 9, DID: 0, CID: 0, time stamp: 1785, AID: 0, The ship created
TID: 00877c485f7f0000, SID: 78, DID: 0, CID: 0, time stamp: 1842, AID: 0, The ship created
TID: 0077fc475f7f0000, SID: 14, DID: 0, CID: 0, time stamp: 1904, AID: 0, The ship created
TID: 00677c475f7f0000, SID: 10, DID: 0, CID: 0, time stamp: 2087, AID: 0, The ship created
TID: 0057fc465f7f0000, SID: 52, DID: 0, CID: 0, time stamp: 2180, AID: 0, The ship created
TID: 00f7ff635f7f0000, SID: 84, DID: 0, CID: 0, time stamp: 2251, AID: 1, The ship requested permission to dock
TID: 00f7ff635f7f0000, SID: 84, DID: 0, CID: 0, time stamp: 2261, AID: 2, The ship docked
TID: 00477c465f7f0000, SID: 85, DID: 0, CID: 0, time stamp: 2317, AID: 0, The ship created
TID: 00f7ff635f7f0000, SID: 84, DID: 0, CID: 0, time stamp: 2323, AID: 5, The ship requested permission to load cargo from the dock
TID: 00f7ff635f7f0000, SID: 84, DID: 0, CID: 5, time stamp: 2333, AID: 6, The ship loading cargo from the dock
TID: 0037fc455f7f0000, SID: 24, DID: 0, CID: 0, time stamp: 2338, AID: 0, The ship created
TID: 00f7c8685f7f0000, SID: 28, DID: 4, CID: 0, time stamp: 2417, AID: 1, The ship requested permission to dock
TID: 00f7c8685f7f0000, SID: 28, DID: 4, CID: 0, time stamp: 2420, AID: 2, The ship docked
TID: 00f7c8685f7f0000, SID: 28, DID: 4, CID: 0, time stamp: 2422, AID: 5, The ship requested permission to load cargo from the dock
TID: 00f7c8685f7f0000, SID: 28, DID: 4, CID: 21, time stamp: 2424, AID: 6, The ship loading cargo from the dock
TID: 00277c455f7f0000, SID: 61, DID: 0, CID: 0, time stamp: 2467, AID: 0, The ship created
TID: 0017fc445f7f0000, SID: 79, DID: 0, CID: 0, time stamp: 2480, AID: 0, The ship created
TID: 00077c445f7f0000, SID: 59, DID: 0, CID: 0, time stamp: 2493, AID: 0, The ship created
TID: 00f7fb435f7f0000, SID: 77, DID: 0, CID: 0, time stamp: 2505, AID: 0, The ship created
TID: 00e77b435f7f0000, SID: 97, DID: 0, CID: 0, time stamp: 2518, AID: 0, The ship created
TID: 00d7fb425f7f0000, SID: 99, DID: 0, CID: 0, time stamp: 2591, AID: 0, The ship created
TID: 00c77b425f7f0000, SID: 54, DID: 0, CID: 0, time stamp: 2607, AID: 0, The ship created
TID: 00b7fb415f7f0000, SID: 46, DID: 0, CID: 0, time stamp: 2620, AID: 0, The ship created
TID: 00a77b415f7f0000, SID: 35, DID: 0, CID: 0, time stamp: 2634, AID: 0, The ship created
TID: 0097fb405f7f0000, SID: 69, DID: 0, CID: 0, time stamp: 2646, AID: 0, The ship created
TID: 00877b405f7f0000, SID: 70, DID: 0, CID: 0, time stamp: 2659, AID: 0, The ship created
TID: 0077fb3f5f7f0000, SID: 71, DID: 0, CID: 0, time stamp: 2672, AID: 0, The ship created
TID: 00677b3f5f7f0000, SID: 58, DID: 0, CID: 0, time stamp: 2685, AID: 0, The ship created
TID: 0057fb3e5f7f0000, SID: 30, DID: 0, CID: 0, time stamp: 2697, AID: 0, The ship created
TID: 00477b3e5f7f0000, SID: 8, DID: 0, CID: 0, time stamp: 2711, AID: 0, The ship created
TID: 0037fb3d5f7f0000, SID: 47, DID: 0, CID: 0, time stamp: 2723, AID: 0, The ship created
TID: 00277b3d5f7f0000, SID: 76, DID: 0, CID: 0, time stamp: 2735, AID: 0, The ship created
TID: 0017fb3c5f7f0000, SID: 81, DID: 0, CID: 0, time stamp: 2747, AID: 0, The ship created
TID: 00077b3c5f7f0000, SID: 25, DID: 0, CID: 0, time stamp: 2761, AID: 0, The ship created
TID: 00f7fa3b5f7f0000, SID: 62, DID: 0, CID: 0, time stamp: 2819, AID: 0, The ship created
TID: 00e77a3b5f7f0000, SID: 5, DID: 0, CID: 0, time stamp: 2833, AID: 0, The ship created
TID: 00d7fa3a5f7f0000, SID: 34, DID: 0, CID: 0, time stamp: 2846, AID: 0, The ship created
TID: 00c77a3a5f7f0000, SID: 1, DID: 0, CID: 0, time stamp: 2859, AID: 0, The ship created
TID: 00b7fa395f7f0000, SID: 43, DID: 0, CID: 0, time stamp: 2871, AID: 0, The ship created
TID: 00a77a395f7f0000, SID: 31, DID: 0, CID: 0, time stamp: 2883, AID: 0, The ship created
TID: 0097fa385f7f0000, SID: 44, DID: 0, CID: 0, time stamp: 2896, AID: 0, The ship created
TID: 00877a385f7f0000, SID: 83, DID: 0, CID: 0, time stamp: 2908, AID: 0, The ship created
TID: 0077fa375f7f0000, SID: 13, DID: 0, CID: 0, time stamp: 2923, AID: 0, The ship created
TID: 00677a375f7f0000, SID: 50, DID: 0, CID: 0, time stamp: 2936, AID: 0, The ship created
TID: 0057fa365f7f0000, SID: 38, DID: 0, CID: 0, time stamp: 2948, AID: 0, The ship created
TID: 00477a365f7f0000, SID: 21, DID: 0, CID: 0, time stamp: 2961, AID: 0, The ship created
TID: 0037fa355f7f0000, SID: 68, DID: 0, CID: 0, time stamp: 2974, AID: 0, The ship created
TID: 00277a355f7f0000, SID: 51, DID: 0, CID: 0, time stamp: 2986, AID: 0, The ship created
TID: 0017fa345f7f0000, SID: 86, DID: 0, CID: 0, time stamp: 2998, AID: 0, The ship created
TID: 00077a345f7f0000, SID: 2, DID: 0, CID: 0, time stamp: 3012, AID: 0, The ship created
TID: 00f7f9335f7f0000, SID: 56, DID: 0, CID: 0, time stamp: 3024, AID: 0, The ship created
TID: 00e779335f7f0000, SID: 7, DID: 0, CID: 0, time stamp: 3037, AID: 0, The ship created
TID: 00d7f9325f7f0000, SID: 88, DID: 0, CID: 0, time stamp: 3050, AID: 0, The ship created
TID: 00e77f635f7f0000, SID: 0, DID: 4, CID: 0, time stamp: 5210, AID: 1, The ship requested permission to dock
TID: 00e77f635f7f0000, SID: 0, DID: 4, CID: 0, time stamp: 5213, AID: 2, The ship docked
TID: 00e77f635f7f0000, SID: 0, DID: 4, CID: 0, time stamp: 5214, AID: 5, The ship requested permission to load cargo from the dock
TID: 00e77f635f7f0000, SID: 0, DID: 4, CID: 13, time stamp: 5216, AID: 6, The ship loading cargo from the dock
TID: 00d7ff625f7f0000, SID: 95, DID: 4, CID: 0, time stamp: 5238, AID: 1, The ship requested permission to dock
TID: 00d7ff625f7f0000, SID: 95, DID: 4, CID: 0, time stamp: 5240, AID: 2, The ship docked
TID: 00d7ff625f7f0000, SID: 95, DID: 4, CID: 0, time stamp: 5242, AID: 5, The ship requested permission to load cargo from the dock
TID: 00d7ff625f7f0000, SID: 95, DID: 4, CID: 19, time stamp: 5244, AID: 6, The ship loading cargo from the dock
TID: 00f7ff635f7f0000, SID: 84, DID: 0, CID: 6, time stamp: 5407, AID: 6, The ship loading cargo from the dock
TID: 00f7c8685f7f0000, SID: 28, DID: 4, CID: 50, time stamp: 5479, AID: 6, The ship loading cargo from the dock
TID: 00c77f625f7f0000, SID: 37, DID: 2, CID: 0, time stamp: 6298, AID: 1, The ship requested permission to dock
TID: 00c77f625f7f0000, SID: 37, DID: 2, CID: 0, time stamp: 6301, AID: 2, The ship docked
TID: 00c77f625f7f0000, SID: 37, DID: 2, CID: 0, time stamp: 6302, AID: 5, The ship requested permission to load cargo from the dock
TID: 00c77f625f7f0000, SID: 37, DID: 2, CID: 0, time stamp: 6304, AID: 6, The ship loading cargo from the dock
TID: 00b7ff615f7f0000, SID: 17, DID: 0, CID: 0, time stamp: 7346, AID: 1, The ship requested permission to dock
TID: 00b7ff615f7f0000, SID: 17, DID: 0, CID: 0, time stamp: 7348, AID: 2, The ship docked
TID: 00b7ff615f7f0000, SID: 17, DID: 0, CID: 0, time stamp: 7350, AID: 5, The ship requested permission to load cargo from the dock
